Electricity-supply-from-grid,Electricity-supply-photovoltaics,Electricity-supply-batteries-discharge,Electricity-demand-base,Electricity-demand-batteries-charge,Electricity-demand-heat-pumps,Electricity-demand-electro-mobility
2.8556247,0,0,1.7197495,0,0.86588377,0.2699914
3.1940453,0,0,2.0878751,0,0.83617884,0.2699914
3.5967803,0,0,2.5509863,0,0.7758026,0.2699914
4.2352967,0.18230551,0,3.0024836,0,1.1451274,0.2699914
5.235373,0.5004413,0,3.2165573,0,1.1893233,1.3299336
6.134244,1.1564766,0,3.4404001,0,1.0210512,2.8292692
5.0263877,2.263053,0,3.6799285,0,0.92598176,2.68353
0.974626,8.387717,0,4.8151116,0,0.84778714,3.699445
0,12.162994,0,4.9184756,2.439686,1.2943548,3.510477
0,10.8452,0,4.269659,1.6946181,1.2883292,3.5925934
0,8.927362,0,3.9652355,0,1.180713,3.7814136
1.0827656,7.3688593,0,3.755661,0,1.0458467,3.6501172
3.0032082,4.989416,0,3.693784,0,0.8180818,3.4807584
4.754359,0.35179058,0,3.531627,0,0.8952843,0.6792383
6.044508,0,0,4.0087523,0,0.7427995,1.292956
6.5446005,0,0,3.7751749,0,0.75994456,2.009481
6.5524483,0,0,3.060159,0,1.039166,2.4531236
7.0451136,0,0,2.501628,0,0.77621824,3.7672675
7.01593,0,0,2.2448149,0,0.7898888,3.9812267
6.5798707,0,0,2.2192295,0,0.81988335,3.5407577
3.0937016,0,0,2.0153708,0,0.8083394,0.2699914
2.7630823,0,0.20625988,1.860217,0,0.8391338,0.2699914
0.90771455,0,1.958291,1.7333751,0,0.86263907,0.2699914
0.5664116,0,2.2959404,1.7086108,0,0.88374996,0.2699914
1.3806411,0,3.3421433,1.7197495,0,0.9013866,2.101648
3.5050626,0,0,2.0878751,0,0.83383304,0.5833545
4.0600686,0,0,2.5509863,0,0.8082655,0.70081687
5.281686,0.21067442,0,3.0044694,0,0.81549907,1.6723918
5.1561284,2.0571914,0,3.3255298,0,0.9035603,2.9842298
3.5205643,5.18618,0,3.7224793,0,0.8165394,4.1677256
0,11.110849,0,4.2992744,1.3984085,1.2680414,4.1451254
0,15.63655,0,5.32253,5.799674,0.8384073,3.6759388
0,17.911938,0,5.320902,8.0102415,1.0915217,3.4892728
0,17.911688,0,4.9223537,8.019772,1.3991735,3.5703888
0,17.911688,0,4.6462946,8.019772,1.4887123,3.7569087
0,13.367849,0,4.1755905,5.158795,0.40625256,3.6272118
0.017806884,7.7989044,0,3.890448,0,0.46634698,3.459916
0.21988848,1.3841375,3.1500213,3.6038914,0,0.49417818,0.65597785
1.9007845,0,3.7575653,4.0087523,0,0.40391478,1.2456828
1.9892387,0,4.238917,3.7751749,0,0.57911783,1.8738629
1.6400042,0,4.1570477,3.060159,0,0.6569829,2.0799103
2.9074688,0,1.8385104,2.501628,0,0.657848,1.5865034
2.541075,0,1.3591169,2.2448149,0,0.70109,0.9542872
3.4869702,0,0,2.2192295,0,0.748556,0.5191847
5.3072214,0,0,1.9588919,0,0.44164154,2.906688
3.96923,0,0,1.7519977,0,0.45463896,1.7625934
3.6323197,0,0,1.6730709,0,0.48426795,1.4749807
4.2928534,0,0,1.709921,0,0.5230328,2.0598998
3.9210923,0,0,1.7230816,0,0.5541338,1.6438769
3.0955048,0,0,2.0938046,0,0.5005575,0.5011426
3.3811193,0,0,2.6133907,0,0.49773717,0.2699914
3.3824732,0.57970816,0,3.178005,0,0.5141849,0.2699914
1.8609161,6.2233667,0,3.8682802,0,0.5303025,3.6857002
0,9.959921,0,4.3915467,0.055008132,0.90697014,4.606396
0,11.27899,0,4.6581907,1.6957668,0.70426774,4.220765
0,13.23807,0,5.352369,3.0356827,1.1133816,3.7366366
0,14.88222,0,5.1474056,5.5003185,0.6904697,3.5440261
0,10.373601,0,4.3852754,0.9822228,1.3783778,3.6277251
1.0999855,4.62594,0,3.9348984,0,0.44419512,1.3468318
2.2736952,3.7093115,0,3.6367686,0,0.3355961,2.010642
2.2271163,3.5524962,0,3.3961942,0,0.27448204,2.1089363
1.8053089,1.5072238,0.88929296,3.2551608,0,0.23062488,0.71604013
2.014487,0.12309709,3.2540326,3.8779216,0,0.18917045,1.3245246
3.2905705,0,2.760031,3.846882,0,0.2310092,1.9727103
4.457887,0,1.2384951,3.2533805,0,0.25768214,2.1853194
4.6637406,0,0,2.715154,0,0.27238777,1.6761991
3.6755567,0,0,2.2776406,0,0.37406674,1.0238495
2.9664047,0,0,2.0196319,0,0.3718825,0.5748903
2.3793366,0,1.2879103,1.9588919,0,0.5157182,1.1926368
1.6744651,0,0.87866384,1.7519977,0,0.5311398,0.2699914
2.3835125,0,0.10420219,1.6730709,0,0.5446523,0.2699914
2.3865712,0,0.15028673,1.709921,0,0.55694556,0.2699914
1.587945,0,0.98220116,1.7230816,0,0.57707316,0.2699914
2.0541897,0,0.8903984,2.0938046,0,0.5807921,0.2699914
1.0045853,0,2.395698,2.6133907,0,0.51690125,0.2699914
1.8260345,1.4528047,0.8220982,3.2391217,0,0.5918242,0.2699914
2.1919987,3.2255256,0,3.6584313,0,0.58006775,1.1790253
2.9045174,4.2839313,0,3.9942274,0,0.54993,2.6442914
1.6158969,6.7534504,0,4.341403,0,0.5645789,3.4633658
0,10.514327,0,5.161707,0.49395302,1.2207502,3.6379166
0,12.460377,0,4.9778767,3.574131,0.45339397,3.4549747
0,13.8922825,0,4.631583,5.009374,0.7168535,3.5344725
0,11.869872,0,4.4419737,2.782628,0.927999,3.7172713
0,9.494541,0,4.0417347,1.2243881,0.6382562,3.590162
0,8.417952,0,3.7367764,0.6507993,0.6041728,3.4262037
1.5578192,3.9918365,1.8012317,3.4290836,0,0.3034497,3.6183543
4.6445756,0.14261046,0.5554463,3.8792877,0,0.26705036,1.1962945
6.046434,0,0,3.846882,0,0.3779764,1.8215755
6.0202427,0,0,3.2533805,0,0.42247275,2.3443894
4.6239734,0,0.05559816,2.715154,0,0.434101,1.5303165
4.122253,0,0,2.2776406,0,0.46669027,1.3779223
6.017581,0,0,2.0196319,0,0.5136594,3.4842896
0.60596585,0,2.792242,1.9588919,0,0.5257132,0.91360295
0.6032623,0,1.9769281,1.7519977,0,0.5582013,0.2699914
0.5932912,0,1.9381455,1.6730709,0,0.5883745,0.2699914
1.5250353,0,1.0661539,1.709921,0,0.61127687,0.2699914
2.8742237,0,0,1.7230816,0,0.5558207,0.5953214
2.9592085,0,0,2.0938046,0,0.5719534,0.29345047
2.2794902,1.2161639,0.02916491,2.698522,0,0.55630565,0.2699914
0.53721327,5.394533,0,3.5150428,0,0.57499063,1.8417128
0,11.221307,0,4.2940173,1.4914217,1.1252338,4.310634
0,16.341936,0,6.202449,5.2139516,0.3143405,4.6111956
0,17.645657,0,5.3458276,7.2906156,0.78430176,4.2249117
0,17.645657,0,5.6609,7.491433,0.75335944,3.739964
0,17.645657,0,5.8471994,8.019772,0.23165831,3.5470276
0,17.645657,0,5.4261503,8.019772,0.5688659,3.6308687
0,15.035152,0,5.349501,4.777397,1.0846001,3.823654
0,11.616938,0,7.659929,0,0.267409,3.6896002
0,7.622808,0,4.041569,0,0.06455366,3.5166848
0,2.3309128,1.769324,3.312819,0,0.068085,0.7193328
1.6920557,0.26627776,3.3569481,3.8879442,0,0.098490246,1.3288472
2.0561566,0,3.9009285,3.846882,0,0.13207406,1.9781293
2.0033197,0,3.5977333,3.2533805,0,0.15657412,2.1910982
0.31104308,0,4.2523794,2.715154,0,0.16715181,1.6811166
0,0,3.554298,2.2776406,0,0.24899457,1.0276629
0.6496127,0,2.3306565,2.0196319,0,0.38269344,0.57794404
1.5239112,0,1.0873766,1.9033281,0,0.40583187,0.3021278
0,0,2.4211667,1.7071174,0,0.44405788,0.2699914
2.377651,0,0,1.6314996,0,0.47615984,0.2699914
0,0,2.4542017,1.6705463,0,0.513664,0.2699914
2.4833817,0,0,1.6817355,0,0.5316547,0.2699914
2.8625479,0,0,2.02193,0,0.5706265,0.2699914
0.98351234,0.50819504,1.8398896,2.5244217,0,0.53718394,0.2699914
0.9400035,2.824014,0,3.1403563,0,0.35366958,0.2699914
0,10.876281,0,3.995789,3.8207502,0.5266136,2.5331278
0,15.389537,0,4.5701103,7.4636803,0.39908916,2.9566574
0,12.172569,0,4.5265284,3.6848836,0.6550677,3.3060894
0,14.646203,0,5.255235,5.061932,0.48692966,3.8421063
0,12.957042,0,4.821408,4.0144744,0.22831188,3.8928478
0,14.810059,0,4.5128965,6.2340913,0.29702365,3.7660468
0,17.3387,0,4.6451635,7.802741,1.2040259,3.6867688
0,12.814654,0,4.0726056,3.9781437,0.8330506,3.9308548
1.161101,6.41795,0,3.3675113,0,0.14474148,4.066798
1.6628991,2.1965408,3.5504096,3.0643415,0,0.07042244,4.2750854
0.9105867,0.47118357,4.1870265,3.6471746,0,0.1131538,1.8084686
0.7994981,0,4.563804,3.6792037,0,0.12820129,1.555897
0.78057337,0,3.9479198,3.1455026,0,0.24439774,1.3385929
0.9654556,0,2.807297,2.6380334,0,0.27175164,0.86296767
0.9094644,0,1.9821641,2.1980815,0,0.30247742,0.39106956
1.0001177,0,1.5475972,1.9442816,0,0.33344176,0.2699914
0,0,2.8424156,1.9033281,0,0.66909605,0.2699914
0.8048824,0,1.8519386,1.7071174,0,0.6797122,0.2699914
0.85367864,0,1.7418563,1.6314996,0,0.69404393,0.2699914
1.3098012,0,1.3424894,1.6705463,0,0.71175283,0.2699914
2.6686523,0,0,1.6817355,0,0.7169254,0.2699914
3.0287302,0,0,2.02193,0,0.69493777,0.3118624
2.5809712,0.87636185,0.023934769,2.5501933,0,0.6610831,0.2699914
1.2692306,5.6909204,0,3.3410397,0,0.48007593,3.139035
0,9.0661745,0,3.8690815,0,1.0258368,4.171256
0,14.581611,0,4.5135555,4.8969035,0.74142706,4.4297247
0,17.33845,0,4.88814,7.723591,0.6901776,4.036541
0,17.33845,0,5.443692,7.8319817,0.49747485,3.5653007
0,16.835247,0,5.092882,8.019772,0.34077156,3.3818214
0,16.765568,0,4.649782,8.019772,0.6275475,3.468466
0,14.771584,0,4.4654655,5.8123436,0.84748876,3.646286
0,7.952703,0,3.732269,0,0.7198633,3.5005705
0.36868387,5.7798147,0,3.322842,0,0.24572706,2.5799296
